date,user,steps,calories,distance_km,active_minutes,resting_heart_rate,sleep_hours
2024-01-14,Carol,14531,781,8.3,81,64,7.2
2024-01-14,Dave,8084,445,5.2,48,68,7.9
2024-01-14,Eve,9947,608,7.6,69,66,6.8
2024-01-15,Alice,9268,538,7.3,63,61,7.3
2024-01-15,Bob,7091,334,5,32,75,7
2024-01-15,Carol,10981,610,7.9,91,61,7.4
2024-01-15,Dave,8666,425,5.4,33,75,6.2
2024-01-15,Eve,12754,447,7.7,43,58,7.6
2024-01-16,Alice,11201,500,5.1,59,68,7.3
2024-01-16,Bob,5151,352,5,30,70,6
2024-01-16,Carol,13819,678,9,81,62,8.4
2024-01-16,Dave,8395,388,5.8,50,74,6.1
2024-01-16,Eve,11152,539,7.5,40,65,8
2024-01-17,Alice,7278,542,6.7,36,68,7.1
2024-01-17,Bob,4841,272,3.4,25,73,7.1
2024-01-17,Carol,14279,621,11,81,56,9
2024-01-17,Dave,8597,358,6.6,36,69,6.8
2024-01-17,Eve,13053,480,6.8,62,67,6.8
2024-01-18,Alice,7699,430,7.1,58,60,8.2
2024-01-18,Bob,6786,332,5.2,29,72,6.3
2024-01-18,Carol,14273,554,8,91,64,8.7
2024-01-18,Dave,6543,338,5.6,45,67,6.8
2024-01-18,Eve,12285,497,7.8,64,63,8.2
2024-01-19,Alice,10113,407,7.6,61,61,7.4
2024-01-19,Bob,7215,351,5.1,38,67,7.3
2024-01-19,Carol,11125,540,9.9,90,62,8.7
2024-01-19,Dave,9183,415,5.1,30,68,6.2
2024-01-19,Eve,9722,457,7.2,65,64,8.3
2024-01-20,Alice,11542,435,6.7,71,64,7.2
2024-01-20,Bob,7431,316,6.1,44,66,7.1
2024-01-20,Carol,15059,788,12.7,65,61,7.4
2024-01-20,Dave,6843,509,5.8,54,72,7.1
2024-01-20,Eve,13549,639,8.2,75,63,8.9
2024-01-21,Alice,9450,516,7.5,63,66,8.3
2024-01-21,Bob,5649,354,5.9,38,66,6.5
2024-01-21,Carol,16250,546,9.9,58,58,7.2
2024-01-21,Dave,9742,526,7,53,70,7.4
2024-01-21,Eve,12480,542,6.5,53,64,7.9
2024-01-22,Alice,8336,372,5,59,62,7
2024-01-22,Bob,6607,291,3.8,24,68,6.8
2024-01-22,Carol,10624,646,7.2,57,59,8.5
2024-01-22,Dave,7985,329,4.8,35,70,6.8
2024-01-22,Eve,11798,492,6.4,71,60,7.1
2024-01-23,Alice,7100,519,6.8,47,69,6.6
2024-01-23,Bob,5345,379,4.9,26,71,6.9
2024-01-23,Carol,11448,598,10.7,70,57,6.9
2024-01-23,Dave,8635,323,4.3,48,73,6.1
2024-01-23,Eve,11617,502,8,60,61,7.4
2024-01-24,Alice,9683,445,7.1,54,67,7.2
2024-01-24,Bob,6153,289,4.8,25,70,7.3
2024-01-24,Carol,11119,474,10.1,65,58,9.2
2024-01-24,Dave,8517,421,5.9,38,73,6.8
2024-01-24,Eve,10876,576,8,64,62,8.5
2024-01-25,Alice,9307,458,6.5,52,66,7.2
2024-01-25,Bob,5488,377,4.4,38,72,6
2024-01-25,Carol,14119,627,9.4,78,57,7.3
2024-01-25,Dave,6777,388,4.5,34,65,6.3
2024-01-25,Eve,8638,480,5.8,51,67,7.5
2024-01-26,Alice,10963,455,6.8,47,60,6.8
2024-01-26,Bob,6408,313,4.5,31,66,6.6
2024-01-26,Carol,10175,498,10.4,77,59,7.1
2024-01-26,Dave,6700,395,4.4,48,65,7.1
2024-01-26,Eve,11739,441,7.7,60,58,6.8
2024-01-27,Alice,12479,507,7.6,65,67,6.5
2024-01-27,Bob,5564,443,4.2,41,70,7.5
2024-01-27,Carol,15553,764,12.4,85,58,8.8
2024-01-27,Dave,9199,500,6.4,48,65,6.1
2024-01-27,Eve,9374,481,7.4,58,62,7.1
2024-01-28,Alice,12029,536,6.4,51,64,8
2024-01-28,Bob,5252,316,4.7,32,77,7.1
2024-01-28,Carol,14024,589,9.2,92,62,8.2
2024-01-28,Dave,10339,492,6.9,43,65,7.7
2024-01-28,Eve,15134,587,10.6,83,61,6.8
2024-01-29,Alice,7397,496,7.4,61,59,6.6
2024-01-29,Bob,6842,356,3.4,33,67,7
2024-01-29,Carol,10529,634,11,62,63,9
2024-01-29,Dave,7282,345,4.9,50,67,6.2
2024-01-29,Eve,10335,427,6,47,59,9
2024-01-30,Alice,8849,467,6,47,63,8.3
2024-01-30,Bob,5559,273,3.5,27,69,6.3
2024-01-30,Carol,14465,591,7.3,91,59,8.3
2024-01-30,Dave,7135,416,6,50,71,8
2024-01-30,Eve,9716,523,6.1,44,64,8.8
2024-01-31,Alice,7281,365,6.4,64,69,8.3
2024-01-31,Bob,5283,335,4.5,24,74,6.8
2024-01-31,Carol,11277,700,8.2,67,55,6.9
2024-01-31,Dave,7830,444,5,37,66,6.6
2024-01-31,Eve,10799,580,6.7,65,64,7
2024-02-01,Alice,8850,479,7.9,58,61,7.8
2024-02-01,Bob,5174,332,4.4,35,66,7
2024-02-01,Carol,9416,487,10.4,56,56,8.5
2024-02-01,Dave,7983,418,4.2,47,69,7
2024-02-01,Eve,11563,513,6.9,57,64,7.8
2024-02-02,Alice,8933,537,7.1,49,61,7.2
2024-02-02,Bob,5485,260,5.2,24,73,7.1
2024-02-02,Carol,15131,507,9.1,76,62,9.2
2024-02-02,Dave,7380,372,5.4,34,73,6.5
2024-02-02,Eve,12087,459,8.2,44,58,8.3
2024-02-03,Alice,11204,445,7.5,67,62,7.5
2024-02-03,Bob,5778,441,5.3,36,76,7.1
2024-02-03,Carol,15470,744,11.8,101,56,8.1
2024-02-03,Dave,6627,457,7.9,41,68,7.1
2024-02-03,Eve,11320,579,10.2,48,59,7.8
2024-02-04,Alice,8327,476,8.5,52,64,8
2024-02-04,Bob,6401,348,5.4,35,68,7.6
2024-02-04,Carol,16146,717,11.3,78,56,7.9
2024-02-04,Dave,8408,381,5.3,46,65,7.6
2024-02-04,Eve,9733,656,10,45,61,7.4
2024-02-05,Alice,9499,432,6.5,56,64,7.5
2024-02-05,Bob,5722,267,5.3,28,69,5.8
2024-02-05,Carol,14233,623,7.2,78,60,8
2024-02-05,Dave,8679,422,4.7,52,65,7.8
2024-02-05,Eve,8756,428,7,43,61,7
2024-02-06,Alice,7801,428,7.7,49,67,7.5
2024-02-06,Bob,6670,367,4.1,32,68,7.6
2024-02-06,Carol,13574,481,8.6,67,55,8.5
2024-02-06,Dave,7624,351,4.7,37,65,6.7
2024-02-06,Eve,12035,437,7.8,43,66,8.5
2024-02-07,Alice,8718,391,5.1,50,60,7.2
2024-02-07,Bob,5241,388,3.7,31,74,7.3
2024-02-07,Carol,10284,649,10.8,51,55,7.2
2024-02-07,Dave,7638,315,5,32,66,6.7
2024-02-07,Eve,9667,582,6.3,61,60,7.9
2024-02-08,Alice,7048,419,5.5,58,63,7.8
2024-02-08,Bob,7437,351,3.4,24,72,7.4
2024-02-08,Carol,9796,559,10.5,85,55,9
2024-02-08,Dave,6129,417,5.1,44,73,6.8
2024-02-08,Eve,8770,511,7.3,67,63,8.4
2024-02-09,Alice,9001,462,8,37,66,6.7
2024-02-09,Bob,5439,351,3.7,22,75,6.5
2024-02-09,Carol,11786,676,7.2,80,60,8.1
2024-02-09,Dave,7039,424,6.2,52,69,6.6
2024-02-09,Eve,12279,592,7.3,50,58,8.5
2024-02-10,Alice,12421,547,8.7,61,65,8.1
2024-02-10,Bob,8278,354,5,43,73,7.4
2024-02-10,Carol,17215,702,10.7,89,56,8.5
2024-02-10,Dave,9061,426,7,54,68,8
2024-02-10,Eve,12860,486,9.5,63,63,6.7
2024-02-11,Alice,10190,594,5.9,72,62,6.8
2024-02-11,Bob,8248,341,5.9,39,74,7.6
2024-02-11,Carol,13685,750,12.3,74,59,8.7
2024-02-11,Dave,8832,418,7,50,70,7.1
2024-02-11,Eve,12547,519,7.6,78,58,8.2
2024-02-12,Alice,10428,413,7.6,54,67,8.2
2024-02-12,Bob,5348,274,4.6,28,69,7
2024-02-12,Carol,11341,481,7.6,60,60,7.2
2024-02-12,Dave,8573,334,6.8,29,66,7.4
2024-02-12,Eve,11620,594,7.4,61,60,6.8
2024-02-13,Alice,7322,378,5.9,52,61,7.4
2024-02-13,Bob,5099,369,5.1,26,69,6.3
2024-02-13,Carol,13297,660,8.5,65,62,7.5
2024-02-13,Dave,6137,451,5.2,34,74,6.4
2024-02-13,Eve,9720,503,6.7,57,59,7.1
2024-02-14,Alice,7670,506,6,51,63,6.5
2024-02-14,Bob,7122,315,4.8,35,74,6.6
2024-02-14,Carol,12605,655,7.6,65,55,7.5
2024-02-14,Dave,5822,349,5.8,51,73,7.8
2024-02-14,Eve,8815,487,8.3,62,58,8.9
2024-02-15,Alice,8606,542,7.6,61,66,8.2
2024-02-15,Bob,6614,297,4.2,36,71,5.8
2024-02-15,Carol,14946,612,6.9,74,58,8.7
2024-02-15,Dave,6184,376,5.6,47,71,7.8
2024-02-15,Eve,8099,601,5.8,46,64,7
2024-02-16,Alice,11168,436,7.6,40,61,6.7
2024-02-16,Bob,7248,293,3.4,31,70,7.3
2024-02-16,Carol,14774,637,9,77,56,8.4
2024-02-16,Dave,6601,420,5.6,41,70,7.8
2024-02-16,Eve,13072,511,8.5,57,65,7.4
2024-02-17,Alice,10559,622,7.9,60,68,8.5
2024-02-17,Bob,8261,304,5.8,41,71,5.8
2024-02-17,Carol,14011,782,12,85,61,7.7
2024-02-17,Dave,6870,478,5.3,41,72,6.2
2024-02-17,Eve,14063,526,9.1,81,64,7.3
2024-02-18,Alice,10554,620,6.7,55,67,7.6
2024-02-18,Bob,8670,374,5.8,41,67,7.4
2024-02-18,Carol,14485,565,11.6,98,58,8
2024-02-18,Dave,8224,456,5.6,40,73,6.4
2024-02-18,Eve,15044,584,10.9,47,60,7.4
2024-02-19,Alice,10934,453,6.7,45,68,7.5
2024-02-19,Bob,5600,317,4.6,38,68,7.3
2024-02-19,Carol,10229,613,9.2,65,59,7.1
2024-02-19,Dave,8058,339,4.7,37,74,6.6
2024-02-19,Eve,8806,558,9.5,50,66,8.5
2024-02-20,Alice,10330,470,7.6,64,60,6.6
2024-02-20,Bob,7332,266,3.9,32,66,7
2024-02-20,Carol,12676,486,7.8,89,59,7.9
2024-02-20,Dave,7436,458,6.6,39,67,6
2024-02-20,Eve,10415,586,8.1,42,63,8.7
2024-02-21,Alice,9296,429,7.3,54,66,7.1
2024-02-21,Bob,6021,267,3.2,24,65,7.2
2024-02-21,Carol,11229,488,7,66,63,8.7
2024-02-21,Dave,8485,330,6.5,38,71,6.5
2024-02-21,Eve,9779,604,6.1,72,63,8
2024-02-22,Alice,9366,376,5.5,47,69,8.2
2024-02-22,Bob,5534,269,4.9,40,71,6.9
2024-02-22,Carol,10842,672,8.7,54,56,8.6
2024-02-22,Dave,5721,351,4.6,34,66,7.5
2024-02-22,Eve,8126,466,9,57,60,7.6
2024-02-23,Alice,11410,376,8.2,53,68,8.2
2024-02-23,Bob,7097,342,5.3,31,73,7.8
2024-02-23,Carol,14118,662,7.4,75,60,7.9
2024-02-23,Dave,6741,310,5.6,32,69,7.3
2024-02-23,Eve,10010,485,6.8,67,58,7.8
2024-02-24,Alice,9436,581,7.7,76,68,8.5
2024-02-24,Bob,7429,325,4.7,29,66,7
2024-02-24,Carol,12236,791,8.9,106,63,8.6
2024-02-24,Dave,9470,466,5.1,38,64,7.4
2024-02-24,Eve,10015,479,9.5,54,64,7.5
2024-02-25,Alice,9162,481,9.2,62,69,7.8
2024-02-25,Bob,7093,443,5.7,32,71,7.3
2024-02-25,Carol,12737,585,8.3,103,58,8.4
2024-02-25,Dave,8662,374,6.1,48,74,6.3
2024-02-25,Eve,14707,496,7.7,79,66,7.7
2024-02-26,Alice,10034,446,7.9,37,67,8
2024-02-26,Bob,5434,302,4.7,22,66,5.9
2024-02-26,Carol,12471,569,10.3,77,62,7.5
2024-02-26,Dave,6161,437,4.5,50,68,6.4
2024-02-26,Eve,10814,571,8.1,40,66,9
2024-02-27,Alice,10578,498,6.6,56,62,7.6
2024-02-27,Bob,5791,287,4.7,31,68,7.7
2024-02-27,Carol,14177,491,10.1,57,55,7.6
2024-02-27,Dave,8125,433,4.4,36,74,7.7
2024-02-27,Eve,13331,448,6.7,57,62,6.7
2024-02-28,Alice,9233,453,8.2,52,63,6.8
2024-02-28,Bob,7347,363,4.4,22,69,6.3
2024-02-28,Carol,15108,538,9.8,66,60,8.9
2024-02-28,Dave,8252,352,5.2,47,73,7.2
2024-02-28,Eve,10682,555,8.4,57,64,8
2024-02-29,Alice,10987,487,6.5,57,60,6.9
2024-02-29,Bob,5149,346,3.3,27,72,6.7
2024-02-29,Carol,12412,576,7.7,86,55,8.9
2024-02-29,Dave,7253,407,5.4,52,64,7.3
2024-02-29,Eve,12972,531,7.6,48,62,8.9
2024-03-01,Alice,10692,543,6.1,40,68,8.3
2024-03-01,Bob,5078,338,3.7,34,73,6.8
2024-03-01,Carol,14175,564,9.2,63,61,9.1
2024-03-01,Dave,5958,395,4.9,43,68,6.9
2024-03-01,Eve,8619,577,8.6,46,66,7.6
2024-03-02,Alice,8717,615,5.9,44,62,8.2
2024-03-02,Bob,5317,386,4.2,26,70,6.7
2024-03-02,Carol,17089,553,10.5,67,58,9
2024-03-02,Dave,8197,524,5.5,38,66,7.7
2024-03-02,Eve,9788,696,8,59,62,8.1
2024-03-03,Alice,11529,472,6.9,65,59,7.3
2024-03-03,Bob,7038,366,5.8,45,75,5.9
2024-03-03,Carol,11066,776,8.7,84,63,8.6
2024-03-03,Dave,8360,387,6.7,37,74,7.9
2024-03-03,Eve,11070,630,9.6,54,62,6.7
2024-03-04,Alice,7435,397,6.1,47,67,7.2
2024-03-04,Bob,5597,293,4,33,75,7.1
2024-03-04,Carol,11590,646,9.9,86,57,7.1
2024-03-04,Dave,8067,310,6.9,38,64,7.3
2024-03-04,Eve,8883,514,6.8,69,58,7.4
2024-03-05,Alice,8510,486,5.1,62,66,7.7
2024-03-05,Bob,6589,285,4.8,34,74,6.9
2024-03-05,Carol,12827,498,10.3,73,55,8
2024-03-05,Dave,7172,434,6.4,45,67,7.1
2024-03-05,Eve,9250,491,6.6,53,57,7.5
2024-03-06,Alice,7975,523,5.2,62,64,7.9
2024-03-06,Bob,6702,290,4.8,25,67,7.7
2024-03-06,Carol,10008,666,8.4,61,55,7.3
2024-03-06,Dave,6268,372,4.4,39,64,7.6
2024-03-06,Eve,10459,494,9.2,43,60,7.1
2024-03-07,Alice,9523,467,6.6,39,64,6.6
2024-03-07,Bob,7568,278,4.1,36,71,7.1
2024-03-07,Carol,12823,688,7.4,59,56,8
2024-03-07,Dave,9109,451,6.2,41,70,7.3
2024-03-07,Eve,8601,452,6,44,63,7.1
2024-03-08,Alice,7204,498,7.2,44,60,6.9
2024-03-08,Bob,5107,323,3.9,22,68,7.8
2024-03-08,Carol,9794,474,7.5,65,60,7.7
2024-03-08,Dave,5770,446,4.8,48,68,7.4
2024-03-08,Eve,12933,468,8.1,73,66,8.5
2024-03-09,Alice,13160,465,8.4,48,60,7.1
2024-03-09,Bob,7424,353,6.1,36,73,7.4
2024-03-09,Carol,12799,750,7.9,59,58,6.9
2024-03-09,Dave,10714,403,7.6,34,70,7.9
2024-03-09,Eve,14361,663,6.6,64,66,6.7
2024-03-10,Alice,8069,455,9.4,52,65,8.2
2024-03-10,Bob,6714,332,4.8,35,76,7.2
2024-03-10,Carol,16958,775,11.4,72,55,7.4
2024-03-10,Dave,6763,383,6.7,37,67,6.2
2024-03-10,Eve,12921,663,10.4,82,63,8.4
2024-03-11,Alice,6993,444,7.3,60,65,7.8
2024-03-11,Bob,6412,270,4.6,31,72,7.2
2024-03-11,Carol,11149,666,9.5,77,61,7.5
2024-03-11,Dave,8163,344,5.2,45,64,6.4
2024-03-11,Eve,10763,547,8.7,62,66,8.5
2024-03-12,Alice,11174,378,5,56,61,7
2024-03-12,Bob,5526,353,4,35,74,7.7
2024-03-12,Carol,12881,693,11,71,62,7.8
2024-03-12,Dave,7929,395,6,37,63,7.1
2024-03-12,Eve,8965,548,6.7,52,57,8.2
2024-03-13,Alice,7277,505,6.3,48,68,7.1
2024-03-13,Bob,5119,352,3.5,23,67,7.4
2024-03-13,Carol,10920,482,9.9,86,63,7.5
2024-03-13,Dave,6608,344,5.5,40,66,6.9
2024-03-13,Eve,8441,607,6.4,67,65,8.7
2024-03-14,Alice,9887,481,7.5,56,67,8.4
2024-03-14,Bob,4666,287,4,35,72,5.8
2024-03-14,Carol,13424,607,9.4,88,55,9
2024-03-14,Dave,9260,326,6.5,48,65,7.9
2024-03-14,Eve,8178,444,9.5,58,65,7.2
2024-03-15,Alice,9131,445,7.6,37,61,7.1
2024-03-15,Bob,5219,388,4.3,31,74,6.4
2024-03-15,Carol,10601,484,7.9,51,62,7.4
2024-03-15,Dave,7345,331,6.8,30,67,7.4
2024-03-15,Eve,8198,504,8.4,58,66,7.5
2024-03-16,Alice,11811,635,6,50,60,6.7
2024-03-16,Bob,6301,382,4.5,39,72,6.5
2024-03-16,Carol,12428,658,12.2,92,56,8
2024-03-16,Dave,6956,380,5.6,38,73,6.2
2024-03-16,Eve,12121,517,10.1,64,62,9
2024-03-17,Alice,9767,626,9,67,60,6.6
2024-03-17,Bob,7205,408,5.1,29,72,6.5
2024-03-17,Carol,16866,738,7.8,68,56,8.5
2024-03-17,Dave,6904,438,7.6,45,73,6.9
2024-03-17,Eve,13875,504,9.9,66,64,7.2
2024-03-18,Alice,9610,434,5.7,40,68,7.6
2024-03-18,Bob,6759,378,5.4,39,74,6.1
2024-03-18,Carol,13076,578,7.5,67,56,8.3
2024-03-18,Dave,6522,449,4.2,45,67,7.5
2024-03-18,Eve,12789,576,9.1,64,64,7
2024-03-19,Alice,10722,401,7.7,55,60,6.7
2024-03-19,Bob,7316,330,3.8,30,75,5.9
2024-03-19,Carol,14467,492,10.9,81,54,8.5
2024-03-19,Dave,7175,383,4.3,41,71,6.6
2024-03-19,Eve,12744,528,9.1,42,61,6.7
2024-03-20,Alice,11403,398,7.2,56,63,6.5
2024-03-20,Bob,5310,318,4.6,35,69,7.8
2024-03-20,Carol,13724,603,7.6,54,57,8.1
2024-03-20,Dave,5936,453,6.9,53,66,6.6
2024-03-20,Eve,13128,524,8.4,48,58,7.5
2024-03-21,Alice,8646,377,6.3,47,60,8.4
2024-03-21,Bob,6654,263,4.8,37,76,6.8
2024-03-21,Carol,10828,522,7.2,77,61,6.9
2024-03-21,Dave,5830,390,4.8,42,68,6.6
2024-03-21,Eve,10768,480,7.1,55,61,8.1
2024-03-22,Alice,11274,425,6.3,58,60,7.8
2024-03-22,Bob,7290,278,4.4,33,69,6
2024-03-22,Carol,10335,530,9.2,64,56,6.8
2024-03-22,Dave,6882,364,4.2,41,72,7.6
2024-03-22,Eve,12615,496,7,40,58,8.3
2024-03-23,Alice,10547,438,7.4,70,60,7.5
2024-03-23,Bob,5612,387,4.7,45,73,6.3
2024-03-23,Carol,13373,769,10.8,73,56,8.5
2024-03-23,Dave,9743,445,7.2,45,71,7.8
2024-03-23,Eve,14340,521,6.8,45,61,7.6
2024-03-24,Alice,8639,617,6.8,53,68,6.8
2024-03-24,Bob,8595,342,5.8,41,71,5.9
2024-03-24,Carol,15871,758,11.7,68,56,8.9
2024-03-24,Dave,7462,514,5.5,46,69,6
2024-03-24,Eve,10197,487,9.3,72,60,6.8
2024-03-25,Alice,10678,483,8.2,53,59,7.5
2024-03-25,Bob,4723,340,3.7,30,70,6.7
2024-03-25,Carol,9712,620,7.7,86,58,8.9
2024-03-25,Dave,7306,347,4.7,36,70,6.9
2024-03-25,Eve,8541,503,8.5,51,62,8.5
2024-03-26,Alice,9479,415,6.8,64,60,7
2024-03-26,Bob,5708,318,5,33,65,7.6
2024-03-26,Carol,13797,638,7.2,83,54,7.4
2024-03-26,Dave,7640,398,4.9,53,72,6.1
2024-03-26,Eve,9815,433,8.6,64,65,8.8
2024-03-27,Alice,8320,466,6.1,39,64,6.5
2024-03-27,Bob,5682,380,3.8,40,69,7
2024-03-27,Carol,10326,539,8.5,56,60,7.2
2024-03-27,Dave,9386,421,5.2,50,72,7.1
2024-03-27,Eve,8489,429,7.8,60,57,7.5
2024-03-28,Alice,10470,453,6.4,45,61,8.2
2024-03-28,Bob,4906,305,5.3,32,68,5.8
2024-03-28,Carol,14543,618,10.3,54,61,7.2
2024-03-28,Dave,7173,373,5.5,42,72,7.3
2024-03-28,Eve,9652,565,7.5,67,63,8.9
2024-03-29,Alice,8041,468,7.3,51,68,7.7
2024-03-29,Bob,4797,313,4,38,68,7
2024-03-29,Carol,13968,674,8.7,83,63,8.5
2024-03-29,Dave,9175,363,4.3,31,64,7.3
2024-03-29,Eve,8137,505,7.8,54,63,8.8
2024-03-30,Alice,10758,481,6.7,69,62,8.3
2024-03-30,Bob,7441,406,4.7,28,74,7.5
2024-03-30,Carol,15467,730,9.4,88,55,7.3
2024-03-30,Dave,9377,464,5.2,35,74,7
2024-03-30,Eve,11836,614,10.8,46,65,7.7
2024-03-31,Alice,10739,478,7.9,71,63,8.5
2024-03-31,Bob,6646,445,6.1,33,73,7.4
2024-03-31,Carol,14886,566,9,94,62,9.2
2024-03-31,Dave,8611,463,5.2,48,68,6.4
2024-03-31,Eve,12864,498,10.1,48,59,8
2024-04-01,Alice,11230,463,5.8,40,59,7.4
2024-04-01,Bob,7304,352,5.3,25,72,7.7
2024-04-01,Carol,10062,648,10.3,57,61,8.2
2024-04-01,Dave,9247,372,6.1,39,67,7.6
2024-04-01,Eve,9362,555,7.2,41,63,8.3
2024-04-02,Alice,10154,431,7.7,57,67,7.5
2024-04-02,Bob,4727,301,4.8,25,65,7.5
2024-04-02,Carol,11220,496,10.2,54,62,7
2024-04-02,Dave,7025,376,6,51,65,6
2024-04-02,Eve,12671,448,9.3,61,65,7.6
2024-04-03,Alice,8167,505,7.8,50,58,6.4
2024-04-03,Bob,7561,331,5.1,23,73,6.4
2024-04-03,Carol,11059,661,6.9,68,63,9
2024-04-03,Dave,5940,438,5.4,31,72,7.9
2024-04-03,Eve,11963,561,6,55,61,7.5
2024-04-04,Alice,7930,424,5.7,39,60,8.2
2024-04-04,Bob,4803,377,5.3,28,67,6.6
2024-04-04,Carol,13241,563,8.8,90,54,7.1
2024-04-04,Dave,8178,426,5.6,45,68,7.4
2024-04-04,Eve,11331,583,6,67,61,8.2
2024-04-05,Alice,11112,511,6,53,66,6.4
2024-04-05,Bob,6030,386,4.2,33,68,6.5
2024-04-05,Carol,13539,646,7.4,82,58,9
2024-04-05,Dave,7038,334,6,48,69,8
2024-04-05,Eve,8841,616,6,52,57,7.7
2024-04-06,Alice,9242,559,9.1,64,58,7
2024-04-06,Bob,5678,445,4.1,41,74,6.5
2024-04-06,Carol,12269,618,8.7,94,60,8.2
2024-04-06,Dave,9620,521,5.2,57,66,6
2024-04-06,Eve,11825,497,8.7,83,64,8.2
2024-04-07,Alice,11249,527,9.6,73,67,7
2024-04-07,Bob,8218,449,3.8,31,74,6.1
2024-04-07,Carol,12159,647,8.2,106,59,8.7
2024-04-07,Dave,7912,375,5.5,48,68,6.6
2024-04-07,Eve,11824,474,11,83,63,7.5
2024-04-08,Alice,9331,393,6.1,52,65,7.4
2024-04-08,Bob,5551,337,3.7,27,68,5.9
2024-04-08,Carol,10804,589,10.8,66,58,7.1
2024-04-08,Dave,9569,385,6.3,31,68,7.3
2024-04-08,Eve,9725,536,5.9,41,63,8
2024-04-09,Alice,8793,492,7.7,65,61,6.9
2024-04-09,Bob,5729,390,5.1,24,69,6.2
2024-04-09,Carol,14585,522,7.6,86,58,7.8
2024-04-09,Dave,7879,458,6.3,30,68,6.7
2024-04-09,Eve,12239,522,7.9,72,65,8
2024-04-10,Alice,9527,455,7.1,65,59,8.1
2024-04-10,Bob,6356,362,5,27,71,6.7
2024-04-10,Carol,15230,571,7.2,89,62,7.3
2024-04-10,Dave,7800,458,6.8,48,72,7.7
2024-04-10,Eve,8160,563,7.4,60,60,8.7
